customerID,tenure,MonthlyCharges,Contract,InternetService,churn_probability,risk_segment,top_churn_reasons,recommended_actions,rank
CUST-00946,2,91.95,Month-to-month,Fiber optic,0.8479069649253826,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",1
CUST-00108,2,88.51,Month-to-month,Fiber optic,0.84781611293896,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",2
CUST-06550,17,95.76,Month-to-month,Fiber optic,0.8289900270525572,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",3
CUST-00711,9,113.48,Month-to-month,Fiber optic,0.8230707057136826,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",4
CUST-06437,6,116.53,Month-to-month,Fiber optic,0.8196224166380969,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",5
CUST-01298,3,37.36,Month-to-month,Fiber optic,0.8176726152424569,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",6
CUST-04437,4,29.31,Month-to-month,Fiber optic,0.8174303699207802,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",7
CUST-05019,17,88.2,Month-to-month,Fiber optic,0.8173708056027408,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",8
CUST-03048,5,108.33,Month-to-month,Fiber optic,0.8166070323767317,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",9
CUST-06107,4,107.76,Month-to-month,Fiber optic,0.8153229278657785,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",10
CUST-05828,4,45.48,Month-to-month,Fiber optic,0.8108076140464038,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",11
CUST-06910,32,96.36,Month-to-month,Fiber optic,0.8104155825403996,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",12
CUST-01399,20,106.39,Month-to-month,Fiber optic,0.8098985392650955,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",13
CUST-00668,13,99.86,Month-to-month,Fiber optic,0.8090453523697868,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",14
CUST-03452,3,114.07,Month-to-month,Fiber optic,0.8072790959403461,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",15
CUST-06901,4,113.71,Month-to-month,Fiber optic,0.8048071014388138,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",16
CUST-04590,2,102.89,Month-to-month,Fiber optic,0.8032310147173778,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",17
CUST-01140,4,117.4,Month-to-month,Fiber optic,0.8026895456362795,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",18
CUST-05391,4,100.11,Month-to-month,Fiber optic,0.8023342216782572,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",19
CUST-06240,4,85.4,Month-to-month,Fiber optic,0.8022912739370067,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",20
CUST-02669,17,106.61,Month-to-month,Fiber optic,0.801643925517345,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",21
CUST-04384,29,92.42,Month-to-month,Fiber optic,0.800913653235182,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",22
CUST-02473,2,112.63,Month-to-month,Fiber optic,0.8001520754761025,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",23
CUST-06855,6,113.8,Month-to-month,Fiber optic,0.7995382869602384,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",24
CUST-06977,24,95.62,Month-to-month,Fiber optic,0.7993181775148385,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",25
CUST-05098,2,85.53,Month-to-month,Fiber optic,0.7987487369917925,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",26
CUST-00794,18,91.47,Month-to-month,Fiber optic,0.7981295279183492,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",27
CUST-00829,17,96.59,Month-to-month,Fiber optic,0.7958815185932853,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",28
CUST-07014,25,114.1,Month-to-month,Fiber optic,0.7907788853041487,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",29
CUST-00940,31,105.88,Month-to-month,Fiber optic,0.7881808450140809,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",30
CUST-05110,9,114.25,Month-to-month,Fiber optic,0.7877859860526306,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",31
CUST-05313,26,108.28,Month-to-month,Fiber optic,0.7863992168693971,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",32
CUST-02873,30,100.33,Month-to-month,Fiber optic,0.7856274848283417,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",33
CUST-00486,7,94.36,Month-to-month,Fiber optic,0.7833577954789296,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",34
CUST-03326,4,95.17,Month-to-month,Fiber optic,0.7833446978306613,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",35
CUST-01694,32,96.23,Month-to-month,Fiber optic,0.7830269342754074,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",36
CUST-04071,10,89.58,Month-to-month,Fiber optic,0.7783265216972045,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",37
CUST-00430,13,89.68,Month-to-month,Fiber optic,0.778134260876177,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",38
CUST-00670,22,83.67,Month-to-month,Fiber optic,0.7767502989816576,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",39
CUST-05155,1,32.47,Month-to-month,Fiber optic,0.7761790105247103,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",40
CUST-01180,26,89.4,Month-to-month,Fiber optic,0.7760349988570864,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",41
CUST-04896,25,96.69,Month-to-month,Fiber optic,0.7760169972342614,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",42
CUST-03017,17,63.79,Month-to-month,Fiber optic,0.7747895077897906,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'No active tech support subscription']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer 3-month free TechSupport trial']",43
CUST-00959,22,109.01,Month-to-month,Fiber optic,0.7744996789689704,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",44
CUST-04090,12,50.81,Month-to-month,Fiber optic,0.7730919585198583,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'No active tech support subscription']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer 3-month free TechSupport trial']",45
CUST-02286,3,23.06,Month-to-month,Fiber optic,0.7725098925520535,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",46
CUST-00074,17,117.17,Month-to-month,Fiber optic,0.7714450821602479,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",47
CUST-04602,34,86.94,Month-to-month,Fiber optic,0.7687719276551018,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",48
CUST-03064,3,116.39,Month-to-month,Fiber optic,0.7677271128269495,HIGH,"['Month-to-month contract — no long-term commitment', 'New customer (≤ 6 months) — high early-life churn risk', 'High-risk payment method (electronic check)']","['Offer 20% discount to upgrade to annual contract', 'Assign onboarding specialist; proactive welcome call', 'Offer bill credit to switch to auto-pay']",49
CUST-05024,20,95.9,Month-to-month,Fiber optic,0.7671545089759749,HIGH,"['Month-to-month contract — no long-term commitment', 'High-risk payment method (electronic check)', 'Monthly charges above $80 — price sensitivity risk']","['Offer 20% discount to upgrade to annual contract', 'Offer bill credit to switch to auto-pay', 'Offer a customized cost-saving bundle']",50
